,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Ref_Wave,Test_Wave,MOS,warp_q_mfcc,warp_q_mel,pesq
0,0,0,0,resources/Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir1/lpcnq.wav,3.823139469,0.7706814108557829,2.4118320187009856,1.5666003227233887
1,1,1,1,resources/Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir1/lpcnq.wav,4.122819767,0.778612439147325,2.2504619948263427,1.7483725547790527
2,2,2,2,resources/Genspeech/LPCNet_listening_test/mfall/dir2/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir2/lpcnq.wav,4.312159404,0.799119730118618,2.3485746993925978,1.8847103118896484
3,3,3,3,resources/Genspeech/LPCNet_listening_test/vec18/dir2/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir2/lpcnq.wav,3.054721495,0.8430321438067179,2.4436768521526404,1.6839871406555176
4,4,4,4,resources/Genspeech/LPCNet_listening_test/mfall/dir3/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir3/lpcnq.wav,3.351932004,0.8029119911784371,1.9761641837348305,1.8568400144577026
5,5,5,5,resources/Genspeech/LPCNet_listening_test/vec18/dir3/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir3/lpcnq.wav,3.891214735,0.7608575302481829,2.423606676485806,1.5275757312774658
6,6,6,6,resources/Genspeech/LPCNet_listening_test/mfall/dir4/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir4/lpcnq.wav,3.710286068,0.7995772286180227,2.143014718064382,1.7918236255645752
7,7,7,7,resources/Genspeech/LPCNet_listening_test/vec18/dir4/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir4/lpcnq.wav,3.548417842,0.8409962827719873,2.4632437367186824,1.4854625463485718
8,8,8,8,resources/Genspeech/LPCNet_listening_test/mfall/dir5/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir5/lpcnq.wav,3.5101505910000004,0.8223713520909128,2.3018548207412097,1.9996347427368164
9,9,9,9,resources/Genspeech/LPCNet_listening_test/vec18/dir5/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir5/lpcnq.wav,3.439382387,0.808195157036881,2.625138278371454,1.5563685894012451
10,10,10,10,resources/Genspeech/LPCNet_listening_test/mfall/dir6/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir6/lpcnq.wav,2.960255433,0.8335079216759573,2.5961401274604095,1.7746386528015137
11,11,11,11,resources/Genspeech/LPCNet_listening_test/vec18/dir6/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir6/lpcnq.wav,3.461780404,0.7813183896008468,2.6193390976139184,1.5338075160980225
12,12,12,12,resources/Genspeech/LPCNet_listening_test/mfall/dir7/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir7/lpcnq.wav,3.4079298510000005,0.785468834855488,2.4631207557144172,1.7757548093795776
13,13,13,13,resources/Genspeech/LPCNet_listening_test/vec18/dir7/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir7/lpcnq.wav,4.155935658,0.7896760664580558,2.450779591676912,1.6512067317962646
14,14,14,14,resources/Genspeech/LPCNet_listening_test/mfall/dir8/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir8/lpcnq.wav,3.32064297,0.7728458907934928,2.427411832233318,1.859513521194458
15,15,15,15,resources/Genspeech/LPCNet_listening_test/vec18/dir8/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir8/lpcnq.wav,3.425347116,0.7792078706455691,2.6909571371217913,1.6009680032730103
16,16,16,16,resources/Genspeech/LPCNet_listening_test/mfall/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/mfall/dir1/lpcnu.wav,4.188097335,0.6347892234297146,2.211709503563924,2.10848069190979
17,17,17,17,resources/Genspeech/LPCNet_listening_test/vec18/dir1/ref.wav,resources/Genspeech/LPCNet_listening_test/vec18/dir1/lpcnu.wav,4.875,0.6082514651549207,2.0398544569641315,2.1147589683532715
